70   alpha=1.1961 beta=1.3696,    на последнем интервале alpha=1.0157, beta= 0.9953
71   alpha=1.2596 beta=1.5124,    на последнем интервале alpha=1.0775, beta= 0.9766
72   alpha=1.2598 beta=1.4628,    на последнем интервале alpha=1.0891, beta= 0.9731
73   alpha=1.2601 beta=1.4141,    на последнем интервале alpha=1.1006, beta= 0.9695
74   alpha=1.2557 beta=1.3672,    на последнем интервале alpha=1.1003, beta= 0.9696
75   alpha=1.2747 beta=1.3814,    на последнем интервале alpha=1.1009, beta= 0.9694
76   alpha=1.2548 beta=1.3411,    на последнем интервале alpha=1.0991, beta= 0.9700
77   alpha=1.2349 beta=1.2999,    на последнем интервале alpha=1.0973, beta= 0.9705
78   alpha=1.2669 beta=1.3575,    на последнем интервале alpha=1.0871, beta= 0.9737
79   alpha=1.2516 beta=1.2558,    на последнем интервале alpha=1.1138, beta= 0.9654
80   alpha=1.2619 beta=1.3178,    на последнем интервале alpha=1.1024, beta= 0.9689
81   alpha=1.2722 beta=1.3798,    на последнем интервале alpha=1.0910, beta= 0.9725
82   alpha=1.2647 beta=1.2283,    на последнем интервале alpha=1.1191, beta= 0.9637
83   alpha=1.2619 beta=1.1703,    на последнем интервале alpha=1.1239, beta= 0.9622
84   alpha=1.2659 beta=1.2224,    на последнем интервале alpha=1.1258, beta= 0.9616
85   alpha=1.2701 beta=1.2752,    на последнем интервале alpha=1.1278, beta= 0.9610
86   alpha=1.2425 beta=1.0838,    на последнем интервале alpha=1.1441, beta= 0.9559
87   alpha=1.2522 beta=1.1599,    на последнем интервале alpha=1.1468, beta= 0.9551
88   alpha=1.2559 beta=1.1936,    на последнем интервале alpha=1.1105, beta= 0.9664
89   alpha=1.2530 beta=1.1471,    на последнем интервале alpha=1.1167, beta= 0.9645
90   alpha=1.2502 beta=1.1014,    на последнем интервале alpha=1.1230, beta= 0.9625
91   alpha=1.2408 beta=1.2207,    на последнем интервале alpha=1.0997, beta= 0.9698
92   alpha=1.2553 beta=1.1818,    на последнем интервале alpha=1.1311, beta= 0.9600
93   alpha=1.2553 beta=1.1465,    на последнем интервале alpha=1.1261, beta= 0.9615
94   alpha=1.2553 beta=1.1118,    на последнем интервале alpha=1.1212, beta= 0.9631
95   alpha=1.2512 beta=1.0745,    на последнем интервале alpha=1.1607, beta= 0.9507
96   alpha=1.2771 beta=1.1476,    на последнем интервале alpha=1.1760, beta= 0.9458
97   alpha=1.2851 beta=1.1091,    на последнем интервале alpha=1.1790, beta= 0.9449
98   alpha=1.2931 beta=1.0721,    на последнем интервале alpha=1.1819, beta= 0.9439
99   alpha=1.3014 beta=1.0383,    на последнем интервале alpha=1.1902, beta= 0.9413
100   alpha=1.3323 beta=1.1073,    на последнем интервале alpha=1.2101, beta= 0.9349
101   alpha=1.3543 beta=1.1454,    на последнем интервале alpha=1.2181, beta= 0.9323
102   alpha=1.3763 beta=1.1825,    на последнем интервале alpha=1.2261, beta= 0.9297
103   alpha=1.3851 beta=1.0937,    на последнем интервале alpha=1.2398, beta= 0.9252
104   alpha=1.3951 beta=1.0684,    на последнем интервале alpha=1.2197, beta= 0.9318
105   alpha=1.4038 beta=1.1032,    на последнем интервале alpha=1.2420, beta= 0.9245
106   alpha=1.4126 beta=1.1384,    на последнем интервале alpha=1.2642, beta= 0.9173
107   alpha=1.4257 beta=1.1101,    на последнем интервале alpha=1.2708, beta= 0.9151
108   alpha=1.4669 beta=1.1072,    на последнем интервале alpha=1.3053, beta= 0.9037
109   alpha=1.4701 beta=1.1055,    на последнем интервале alpha=1.3103, beta= 0.9020
110   alpha=1.4733 beta=1.1038,    на последнем интервале alpha=1.3153, beta= 0.9003
111   alpha=1.4892 beta=1.0832,    на последнем интервале alpha=1.3219, beta= 0.8981
112   alpha=1.5300 beta=1.1704,    на последнем интервале alpha=1.3335, beta= 0.8942
113   alpha=1.5384 beta=1.1360,    на последнем интервале alpha=1.3562, beta= 0.8866
114   alpha=1.5467 beta=1.1022,    на последнем интервале alpha=1.3788, beta= 0.8789
115   alpha=1.5364 beta=1.0651,    на последнем интервале alpha=1.3619, beta= 0.8846
116   alpha=1.5739 beta=1.1378,    на последнем интервале alpha=1.3892, beta= 0.8753
117   alpha=1.5948 beta=1.1509,    на последнем интервале alpha=1.3890, beta= 0.8754
118   alpha=1.5962 beta=1.1428,    на последнем интервале alpha=1.3833, beta= 0.8774
119   alpha=1.5977 beta=1.1348,    на последнем интервале alpha=1.3777, beta= 0.8793
120   alpha=1.6393 beta=1.2160,    на последнем интервале alpha=1.3681, beta= 0.8825
121   alpha=1.6301 beta=1.1946,    на последнем интервале alpha=1.4231, beta= 0.8637
122   alpha=1.6247 beta=1.1019,    на последнем интервале alpha=1.4345, beta= 0.8598
123   alpha=1.6196 beta=1.0119,    на последнем интервале alpha=1.4459, beta= 0.8558
124   alpha=1.6382 beta=1.1398,    на последнем интервале alpha=1.4002, beta= 0.8716
125   alpha=1.6527 beta=1.1581,    на последнем интервале alpha=1.4192, beta= 0.8651
126   alpha=1.6457 beta=1.1420,    на последнем интервале alpha=1.4294, beta= 0.8616
127   alpha=1.6386 beta=1.1257,    на последнем интервале alpha=1.4395, beta= 0.8581
128   alpha=1.6348 beta=1.1090,    на последнем интервале alpha=1.4315, beta= 0.8608
129   alpha=1.6719 beta=1.1754,    на последнем интервале alpha=1.4206, beta= 0.8646
130   alpha=1.6591 beta=1.1382,    на последнем интервале alpha=1.4244, beta= 0.8633
131   alpha=1.6462 beta=1.1007,    на последнем интервале alpha=1.4281, beta= 0.8620
132   alpha=1.6744 beta=1.2131,    на последнем интервале alpha=1.4066, beta= 0.8694
133   alpha=1.6750 beta=1.2529,    на последнем интервале alpha=1.4147, beta= 0.8666
134   alpha=1.6574 beta=1.1839,    на последнем интервале alpha=1.4104, beta= 0.8681
135   alpha=1.6399 beta=1.1156,    на последнем интервале alpha=1.4061, beta= 0.8696
136   alpha=1.6539 beta=1.1867,    на последнем интервале alpha=1.4114, beta= 0.8678
137   alpha=1.6856 beta=1.3077,    на последнем интервале alpha=1.3946, beta= 0.8735
138   alpha=1.6797 beta=1.2377,    на последнем интервале alpha=1.4118, beta= 0.8676
139   alpha=1.6738 beta=1.1691,    на последнем интервале alpha=1.4290, beta= 0.8617
140   alpha=1.6369 beta=1.1270,    на последнем интервале alpha=1.4016, beta= 0.8711
141   alpha=1.6980 beta=1.3096,    на последнем интервале alpha=1.3817, beta= 0.8779
142   alpha=1.6714 beta=1.2517,    на последнем интервале alpha=1.3783, beta= 0.8791
143   alpha=1.6449 beta=1.1935,    на последнем интервале alpha=1.3749, beta= 0.8802
144   alpha=1.6428 beta=1.2135,    на последнем интервале alpha=1.3780, beta= 0.8792
145   alpha=1.6371 beta=1.1904,    на последнем интервале alpha=1.3923, beta= 0.8743
146   alpha=1.6729 beta=1.3759,    на последнем интервале alpha=1.3729, beta= 0.8809
147   alpha=1.6468 beta=1.2768,    на последнем интервале alpha=1.3783, beta= 0.8791
148   alpha=1.6209 beta=1.1785,    на последнем интервале alpha=1.3836, beta= 0.8773
149   alpha=1.6416 beta=1.3432,    на последнем интервале alpha=1.3729, beta= 0.8809
150   alpha=1.6071 beta=1.1843,    на последнем интервале alpha=1.3690, beta= 0.8822
151   alpha=1.6204 beta=1.2411,    на последнем интервале alpha=1.3647, beta= 0.8837
152   alpha=1.6338 beta=1.2980,    на последнем интервале alpha=1.3605, beta= 0.8851
